Locus_tag,Gene_name,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
b2392,mntH,63.879,17.533,19.816,20.182,50.367,21.051,101.287,103.929
b2393,nupC,44.583,106.434,116.29,132.663,46.263,78.817,120.464,158.747
b2394,insL-3,32.951,40.343,34.575,39.23,35.517,30.737,39.992,48.542
b2395,pdeA,29.175,14.879,13.705,16.128,31.4,15.05,21.63,19.253
b2396,alaX,0,0,0,0,0,0,0,0
b2397,alaW,0,0,0,0,0,0,0,0
b2398,yfeC,56.092,28.334,40.482,38.958,57.15,40.26,73.892,36.683
b2399,yfeD,67.067,39.914,44.67,36.984,64.628,31.366,86.695,71.111
b2400,gltX,241.647,468.511,458.996,484.786,260.893,421.038,301.314,341.65
b2401,valU,0,0,0,0,0,0,0,0
b2402,valX,0,0,0,0,0,0,0,0
b2403,valY,0,0,0,0,0,0,0,0
b2404,lysV,0,0,0,0,0,0,0,0
b2405,xapR,13.923,10.56,8.111,9.418,16.243,10.648,11.644,11.543
b2406,xapB,4.111,2.653,4.759,3.979,4.984,4.122,4.893,4.038
b2407,xapA,0.715,0.242,0.312,0.562,0.641,0,0.259,0.39
b2408,yfeN,1.429,0.991,1.088,0.817,1.904,1.109,1.411,0.936
b2409,yfeR,5.735,5.232,4.489,6.126,6.653,4.866,6.286,5.896
b2410,yfeH,20.789,49.457,48.684,51.574,21.827,47.881,52.441,44.876
b2411,ligA,50.731,50.306,46.946,47.431,51.527,46.755,63.855,66.649
b2412,zipA,212.024,147.077,151.489,167.66,210.541,155.592,233.086,186.665
b2413,cysZ,30.84,36.464,35.223,36.029,31.93,43.372,32.499,35.949
b2414,cysK,538.496,1471.018,1762.172,1717.156,535.699,1376.198,1892.85,2071.515
b2415,ptsH,1199.534,2377.314,2480.029,2950.038,1446.934,2104.902,3000.768,3212.013
b2416,ptsI,647.8,1034.186,980.235,1119.095,713.982,743.394,1524.749,1782.691
b2417,crr,1212.429,1882.415,1709.691,1990.595,1323.884,1256.397,2842.687,2850.593
b2418,pdxK,38.662,59.65,57.083,58.21,42.579,52.158,58.196,65.678
b2419,yfeK,31.003,10.104,4.924,7.641,32.635,8.575,9.927,7.808
b2420,yfeS,30.959,10.104,9.731,12.9,27.222,7.535,11.892,14.164
b2421,cysM,245.695,181.191,190.326,169.423,248.782,176.541,311.413,299.653
b2422,cysA,177.581,163.933,218.273,175.382,189.544,185.725,368.064,407.857
b2423,cysW,92.335,111.187,143.637,124.886,104.39,146.119,194.163,230.002
b2424,cysU,55.969,125.933,172.108,132.018,57.502,142.527,152.382,181.822
b2425,cysP,43.284,297.996,409.529,389.407,48.611,314.982,367.883,367.66
b2426,ucpA,81.74,49.243,54.183,57.752,78.18,49.173,231.616,189.534
b2427,murR,5.906,3.533,6.123,6.132,4.754,3.852,9.244,11.83
b2428,murQ,6.231,4.449,5.944,5.372,4.818,4.157,16.721,21.943
b2429,murP,3.399,2.428,2.829,2.139,3.698,2.037,11.851,12.237
b2430,yfeW,3.312,1.878,1.475,2.715,3.405,1.728,7.4,13.138
b2431,yfeX,141.212,204.208,224.188,248.667,155.997,165.397,382.407,318.903
b2432,yfeY,142.194,54.992,63.259,63.627,131.4,54.664,69.877,72.636
b2433,yfeZ,40.851,31.153,24.91,27.379,38.419,26.648,42.083,42.511
b2434,ypeA,47.759,35.161,28.572,28.982,42.465,35.174,42.175,41.393
